TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
100000.000000	1990.000000	0.601700	1057166.957000	956.313258	
100000.000000	1995.000000	0.602000	1061550.895000	958.468393	
100000.000000	2000.000000	0.602200	1065940.522000	960.621250	
200000.000000	1000.000000	0.331000	281244.253000	518.499250	
200000.000000	1005.000000	0.334000	285096.416000	521.612321	
200000.000000	1010.000000	0.337000	288968.606000	524.722527	
200000.000000	1015.000000	0.339900	292833.505000	527.833758	
200000.000000	1020.000000	0.342900	296701.425000	530.943808	
200000.000000	1025.000000	0.345800	300571.831000	534.053165	
200000.000000	1030.000000	0.348700	304444.504000	537.161869	
200000.000000	1035.000000	0.351500	308320.132000	540.269855	
200000.000000	1040.000000	0.354400	312198.163000	543.377201	
200000.000000	1045.000000	0.357200	316078.448000	546.483939	
200000.000000	1050.000000	0.360000	319962.036000	549.589960	
200000.000000	1055.000000	0.362800	323847.998000	552.695387	
200000.000000	1060.000000	0.365500	327736.066000	555.800261	
200000.000000	1065.000000	0.368200	331627.459000	558.904455	
200000.000000	1070.000000	0.370900	335521.672000	562.008039	
200000.000000	1075.000000	0.373400	339162.702000	564.934030	
200000.000000	1080.000000	0.375700	342482.140000	567.635502	
200000.000000	1085.000000	0.378000	345843.439000	570.363878	
200000.000000	1090.000000	0.380300	349221.940000	573.103989	
200000.000000	1095.000000	0.382600	352609.413000	575.850822	
200000.000000	1100.000000	0.384800	356019.711000	578.599822	
200000.000000	1105.000000	0.387000	359427.714000	581.352093	
200000.000000	1110.000000	0.389300	362833.659000	584.106433	
200000.000000	1115.000000	0.391500	366250.940000	586.860483	
200000.000000	1120.000000	0.393800	369633.028000	589.618931	
200000.000000	1125.000000	0.396100	373037.671000	592.374678	
200000.000000	1130.000000	0.398300	376460.763000	595.127925	
200000.000000	1135.000000	0.400400	379885.592000	597.880238	
200000.000000	1140.000000	0.402900	383214.627000	600.642300	
200000.000000	1145.000000	0.405200	386589.113000	603.398042	
200000.000000	1150.000000	0.407500	389964.397000	606.152360	
200000.000000	1155.000000	0.409700	393339.037000	608.905167	
200000.000000	1160.000000	0.411800	396775.675000	611.649456	
200000.000000	1165.000000	0.413900	400192.420000	614.394112	
200000.000000	1170.000000	0.416000	403622.278000	617.135662	
200000.000000	1175.000000	0.418000	407049.599000	619.875510	
200000.000000	1180.000000	0.420100	410483.714000	622.612653	
200000.000000	1185.000000	0.422100	413906.068000	625.349689	
200000.000000	1190.000000	0.424100	417334.401000	628.084164	
200000.000000	1195.000000	0.426100	420763.682000	630.815680	
200000.000000	1200.000000	0.428100	424192.988000	633.545005	
200000.000000	1205.000000	0.430100	427621.799000	636.272154	
200000.000000	1210.000000	0.432000	431050.749000	638.997029	
200000.000000	1215.000000	0.434000	434479.137000	641.719665	
200000.000000	1220.000000	0.435900	437908.573000	644.439877	
200000.000000	1225.000000	0.437800	441337.244000	647.157813	
200000.000000	1230.000000	0.439800	444756.215000	649.874429	
200000.000000	1235.000000	0.441600	448187.281000	652.587332	
200000.000000	1240.000000	0.443500	451617.546000	655.297903	
200000.000000	1245.000000	0.445400	455047.125000	658.006110	
200000.000000	1250.000000	0.447200	458475.613000	660.711823	
200000.000000	1255.000000	0.449000	461914.671000	663.414245	
200000.000000	1260.000000	0.450900	465340.102000	666.115485	
200000.000000	1265.000000	0.452700	468766.244000	668.814161	
200000.000000	1270.000000	0.454500	472194.485000	671.510121	
200000.000000	1275.000000	0.456300	475611.260000	674.204670	
200000.000000	1280.000000	0.458100	479040.488000	676.895481	
200000.000000	1285.000000	0.459800	482465.325000	679.584170	
200000.000000	1290.000000	0.461600	485890.701000	682.270250	
200000.000000	1295.000000	0.463300	489315.852000	684.953795	
200000.000000	1300.000000	0.465100	492740.531000	687.634819	
200000.000000	1305.000000	0.466800	496164.845000	690.313305	
200000.000000	1310.000000	0.468500	499588.784000	692.989248	
200000.000000	1315.000000	0.470200	503012.221000	695.662650	
200000.000000	1320.000000	0.471900	506434.309000	698.333578	
200000.000000	1325.000000	0.473600	509856.553000	701.001901	
200000.000000	1330.000000	0.475200	513279.218000	703.667592	
200000.000000	1335.000000	0.476900	516701.999000	706.330483	
200000.000000	1340.000000	0.478500	520123.391000	708.991066	
200000.000000	1345.000000	0.480200	523544.694000	711.649041	
200000.000000	1350.000000	0.481800	526965.433000	714.304453	
200000.000000	1355.000000	0.483400	530385.908000	716.957267	
200000.000000	1360.000000	0.485000	533805.903000	719.607502	
200000.000000	1365.000000	0.486600	537225.677000	722.255117	
200000.000000	1370.000000	0.488200	540644.900000	724.900167	
200000.000000	1375.000000	0.489700	544063.963000	727.542597	
200000.000000	1380.000000	0.491300	547482.460000	730.182446	
200000.000000	1385.000000	0.492900	550900.671000	732.819685	
